Description,PROV,CLIMATE ID,THREE LETTER ID
TOFINO A,BC,1038204,YAZ
TOFINO A,BC,1038210,YAZ
POWELL RIVER A,BC,1046395,YPW
POWELL RIVER A,BC,1046396,YPW
WHISTLER,BC,1048898,WAE
WHISTLER A,BC,1048899,WAE
MASSET A,BC,1054921,ZMT
MASSET A,BC,1054929,ZMT
SANDSPIT,BC,1057052,YZP
BELLA BELLA,BC,1060815,BBC
BELLA COOLA A,BC,1060845,YBD
BELLA COOLA A,BC,1060848,YBD
PRINCE RUPERT,BC,1066482,YPR
STEWART A,BC,1067741,ZST
STEWART A,BC,1067748,ZST
TERRACE A,BC,1068134,YXT
SMITHERS A,BC,1077498,YYD
SMITHERS,BC,1077499,YYD
PRINCE GEORGE,BC,1096439,YXS
QUESNEL,BC,1096629,YQZ
WILLIAMS LAKE A,BC,1098941,YWL
ABBOTSFORD A,BC,1100031,YXX
VANCOUVER INTL A,BC,1108395,YVR
HOPE A,BC,1113542,YHE
HOPE SLIDE A,BC,1113582,WKV
LYTTON,BC,1114738,WLY
KELOWNA,BC,1123939,YLW
PENTICTON A,BC,1126146,YYF
PRINCETON A,BC,1126510,YDC
PRINCETON A,BC,1126511,YDC
PRINCETON A,BC,1126518,YDC
CASTLEGAR A,BC,1141456,YCG
CASTLEGAR A,BC,1141460,YCG
CRANBROOK A,BC,1152105,YXC
SPARWOOD A,BC,1157632,WSW
SPARWOOD A,BC,1157635,WSW
BLUE RIVER A,BC,1160898,YCP
BLUE RIVER A,BC,1160902,YCP
CLINTON (AUT),BC,1161661,WCL
CLINTON,BC,1161662,YIN
KAMLOOPS A,BC,1163781,YKA
GOLDEN A,BC,1173209,YGE
GOLDEN A,BC,1173214,YGE
REVELSTOKE A,BC,1176745,YRV
CHETWYND A,BC,1181507,YCQ
CHETWYND A,BC,1181513,YCQ
DAWSON CREEK A,BC,1182289,YDQ
FORT ST. JOHN A,BC,1183001,YXJ
MACKENZIE,BC,1184791,YZY
SIKANNI CHIEF,BC,1187336,WKS
DEASE LAKE A,BC,1192341,YDL
FORT NELSON A,BC,1192946,YYE
MUNCHO LAKE A,BC,1195251,WWQ
TETSA RIVER A,BC,1195800,WTH
BRANDON A,MB,5010481,YBR
PORTAGE SOUTHPORT A,MB,5012320,YPG
WINNIPEG INTL A,MB,5023227,YWG
BERENS RIVER A,MB,5030201,YBV
BERENS RIVER A,MB,5030204,YBV
DAUPHIN,MB,5040689,YDN
FLIN FLON A,MB,5050961,YFO
FLIN FLON A,MB,5050973,YFO
THE PAS A,MB,5052881,YQD
CHURCHILL,MB,5060595,YYQ
CHURCHILL A,MB,5060605,YYQ
GILLAM A,MB,5061022,YGX
ISLAND LAKE A,MB,5061375,YIV
LYNN LAKE,MB,5061645,YYL
NORWAY HOUSE,MB,5062040,YNE
TADOULE LAKE,MB,5062835,YBQ
THOMPSON A,MB,5062921,YTH
BATHURST A,NB,8100505,ZBF
FREDERICTON,NB,8101505,YFC
GAGETOWN A,NB,8101792,YCX
GAGETOWN AWOS A,NB,8101794,YCX
MONCTON INTL A,NB,8103201,YQM
SAINT JOHN A,NB,8104901,YSJ
ST LEONARD A,NB,8104930,YSL
DANIELS HARBOUR,NL,8401400,WDH
DEER LAKE A,NL,8401502,YDF
GANDER INTL A,NL,8401703,YQX
PORT AUX BASQUES,NL,8402975,WZB
ST ANTHONY,NL,8403389,YAY
ST JOHN'S INTL A,NL,8403505,YYT
STEPHENVILLE A,NL,8403801,YJT
WINTERLAND,NL,8404241,XWT
LONG POND,NL,840N001,WWU
CAPE KAKKIVIAK,NL,8500920,WKW
CAPE KIGLAPAIT,NL,8500926,WYK
CARTWRIGHT A,NL,8501101,WCA
CHURCHILL FALLS,NL,8501130,AFL
CHURCHILL FALLS,NL,8501131,ZUM
GOOSE A,NL,8501900,YYR
EDMONTON NAMAO AWOS A,AB,3012212,YED
EDMONTON INTL A,AB,3012216,YEG
EDMONTON/VILLENEUVE,AB,3012229,ZVL
EDMONTON STONY PLAIN,AB,301222F,WSE
LLOYDMINISTER A,AB,3013958,YLL
LLOYDMINSTER,AB,3013959,YLL
LLOYDMINSTER A,AB,3013961,YLL
CAMP WAINWRIGHT AIRFIELD 21,AB,301S111,
RED DEER A,AB,3025481,YQF
CALGARY INTL A,AB,3031092,YYC
CALGARY/SPRINGBANK,AB,3031109,YBW
LETHBRIDGE,AB,3033875,YQL
LETHBRIDGE A,AB,3033881,YQL
MEDICINE HAT,AB,3034479,YXH
MEDICINE HAT A,AB,3034481,YXH
PINCHER CREEK,AB,3035198,ZPC
CFB SUFFIELD,AB,3036240,YSD
WHITECOURT A,AB,3057376,YZU
EDSON,AB,3062239,YET
FORT MCMURRAY A,AB,3062697,YMM
SLAVE LAKE,AB,3065995,YZH
SLAVE LAKE AWOS A,AB,3066002,PLV
WHITECOURT A,AB,3067373,YZU
FORT CHIPEWYAN,AB,3072655,YPY
GRANDE PRAIRIE A,AB,3072921,YQU
HIGH LEVEL,AB,3073140,YOJ
HIGH LEVEL A,AB,3073141,YOJ
PEACE RIVER A,AB,3075040,YPE
PEACE RIVER A,AB,3075041,YPE
CFB - COLD LAKE,AB,3081680,YOD
VICTORIA HARBOUR A,BC,1018619,YWH
VICTORIA INTL A,BC,1018621,YYJ
VICTORIA HARBOUR A,BC,1018633,YWH
CAMPBELL RIVER A,BC,1021267,YBL
CAMPBELL RIVER A,BC,1021270,YBL
CFB COMOX,BC,1021830,YQQ
NANAIMO A,BC,1025365,YCD
NANAIMO A,BC,1025369,YCD
PORT HARDY A,BC,1026271,YZT
MAKKOVIK A,NL,8502580,YFT
MAKKOVIK A,NL,8502588,YFT
MARY'S HARBOUR A,NL,8502590,YMH
MARY'S HARBOUR A,NL,8502592,YMH
NAIN A,NL,8502801,YDP
NAIN A,NL,8502810,YDP
SAGLEK,NL,8503249,WZZ
TUKIALIK BAY,NL,8503992,WTU
WABUSH A,NL,8504176,YWK
WABUSH A,NL,8504177,YWK
CFB GREENWOOD,NS,8202000,YZX
HALIFAX INTL A,NS,8202251,YHZ
PORT HAWKESBURY,NS,8204495,YPD
SABLE ISLAND,NS,8204700,ESA
SABLE ISLAND,NS,8204703,WSA
CFB SHEARWATER,NS,8205090,YAW
SYDNEY A,NS,8205701,YQY
YARMOUTH A,NS,8206495,YQI
AKLAVIK A,NT,2200100,YKD
AKLAVIK A,NT,2200101,YKD
AKLAVIK A,NT,2200105,YKD
CAPE PARRY A,NT,2200675,ZCP
COLVILLE LAKE A,NT,2200827,YVL
DELINE A,NT,2201020,YWJ
DELINE A,NT,2201023,YWJ
FORT GOOD HOPE A,NT,2201401,YGH
FORT LIARD A,NT,2201576,YJF
FORT LIARD A,NT,2201581,YJF
FORT MCPHERSON A,NT,2201599,ZFM
FORT MCPHERSON A,NT,2201601,ZFM
FORT MCPHERSON A,NT,2201606,ZFM
TULITA A,NT,2201701,ZFN
TULITA A,NT,2201705,ZFN
FORT RESOLUTION A,NT,2202001,YFR
FORT RESOLUTION A,NT,2202010,YFR
FORT SIMPSON A,NT,2202103,YFS
AURORA COLLEGE THEBACHA CAMPUS,NT,2202199,XAC
FORT SMITH A,NT,2202201,YSM
HAY RIVER A,NT,2202401,YHY
INUVIK A,NT,2202571,YEV
KEATS POINT,NT,2202663,WKP
LUTSELK'E A,NT,2202687,YLK
LUTSELK'E A,NT,2202690,YLK
NORMAN WELLS A,NT,2202801,YVQ
PAULATUK A,NT,2203055,YPC
PAULATUK A,NT,2203056,YPC
PAULATUK A,NT,2203057,YPC
GAMETI AIRPORT,NT,2203361,YRA
GAMETI A,NT,2203362,YRA
GAMETI A,NT,2203365,YRA
TUKTOYAKTUK A,NT,2203913,YUB
WEKWEETI,NT,2203980,YWE
WRIGLEY A,NT,2204001,YWY
YELLOWKNIFE A,NT,2204101,YZF
LIVERPOOL BAY,NT,220B68C,WLI
STORM HILLS,NT,220LQJJ,WVH
EKATI A,NT,220N001,YOA
CHESTERFIELD INLET A,NT,2300710,YCS
WHALE COVE A,NT,2303990,YXN
ULUKHAKTOK A,NT,2502502,YHI
ULUKHAKTOK A,NT,2502503,YHI
SACHS HARBOUR A,NT,2503649,YSY
SACHS HARBOUR A,NT,2503651,YSY
ARVIAT,NU,2300427,YEK
ARVIAT A,NU,2300428,YEK
BAKER LAKE A,NU,2300503,YBK
CHESTERFIELD INLET A,NU,2300701,YCS
KUGLUKTUK A,NU,2300902,YCO
KUGLUKTUK A,NU,2300903,YCO
CORAL HARBOUR A,NU,2301002,YZS
GJOA HAVEN A,NU,2302336,YHK
GJOA HAVEN,NU,2302337,YHK
HAT ISLAND,NU,2302370,WIL
KUGAARUK A,NU,2303091,YBB
CAM FOUR,NU,2303093,WRF
KUGAARUK A,NU,2303095,YBB
RANKIN INLET A,NU,2303405,YRT
SANIKILUAQ A,NU,2303660,YSK
SANIKILUAQ A,NU,2303666,YSK
SHEPHERD BAY A,NU,2303685,YUS
WHALE COVE A,NU,2303987,YXN
CROKER RIVER,NU,230J01Q,WXR
CFB ALERT,NU,2400302,YLT
ARCTIC BAY,NU,2400399,YAB
ARCTIC BAY A,NU,2400401,YAB
BREVOORT ISLAND,NU,2400565,WOB
FOX FIVE,NU,2400570,WVD
QIKIQTARJUAQ A,NU,2400576,YVM
QIKIQTARJUAQ,NU,2400577,YVM
CAMBRIDGE BAY A,NU,2400601,YCB
CAPE DORSET A,NU,2400633,YTE
CAPE DORSET,NU,2400637,YTE
CAPE DYER,NU,2400650,WFD
CAPE HOOPER,NU,2400660,WUP
CAPE PEEL WEST,NU,2400697,WPX
CLYDE RIVER A,NU,2400803,YCY
CLYDE RIVER,NU,2400804,YCY
CAPE MERCY,NU,2400F63,WYM
DEWAR LAKES,NU,2401030,WUW
EUREKA A,NU,2401203,WEU
GRISE FIORD,NU,2402338,WGZ
HALL BEACH,NU,2402354,YUX
HALL BEACH A,NU,2402356,YUX
GRISE FIORD A,NU,2402360,WGZ
IGLOOLIK A,NU,2402541,YGT
IGLOOLIK A,NU,2402546,YGT
IQALUIT A,NU,2402596,YFB
KIMMIRUT A,NU,2402671,YLC
KIMMIRUT A,NU,2402673,YLC
LONGSTAFF BLUFF,NU,2402684,WLX
PANGNIRTUNG A,NU,2403051,YXP
PANGNIRTUNG,NU,2403054,YXP
POND INLET A,NU,2403205,YIO
POND INLET,NU,2403206,YIO
REPULSE BAY A,NU,2403491,YUT
NAUJAAT A,NU,2403495,YUT
RESOLUTE BAY A,NU,2403498,YRB
RESOLUTION ISLAND,NU,2403602,WRH
ROWLEY ISLAND,NU,2403625,WRX
TALOYOAK A,NU,2403855,YYH
ATTAWAPISKAT A,ON,6010400,YAT
BIG TROUT LAKE,ON,6010735,YTL
FORT SEVERN,ON,6012501,YER
LANSDOWNE HOUSE,ON,6014351,YLH
MUSKRAT DAM,ON,6015026,ZMD
PEAWANUCK A,ON,6016298,YPO
PICKLE LAKE A,ON,6016528,YPL
PICKLE LAKE A,ON,6016529,YPL
RED LAKE A,ON,6016970,YRL
RED LAKE A,ON,6016971,YRL
SANDY LAKE,ON,6017401,ZSJ
DRYDEN REGIONAL,ON,6032125,YHD
KENORA A,ON,6034076,YQK
SIOUX LOOKOUT A,ON,6037776,YXL
GERALDTON A,ON,6042717,YGQ
MARATHON A,ON,6044963,YSP
MARATHON A,ON,6044967,YSP
THUNDER BAY,ON,6048260,YQT
THUNDER BAY A,ON,6048262,YQT
SAULT STE. MARIE A,ON,6057591,YAM
WAWA A,ON,6059407,YXZ
WAWA A,ON,6059413,YXZ
CHAPLEAU A,ON,6061362,YLD
SUDBURY A,ON,6068153,YSB
EARLTON,ON,6072223,YXR
KAPUSKASING A,ON,6073976,YYU
MOOSONEE,ON,6075420,YMO
OGOKI POST A,ON,6075786,YKP
TIMMINS A,ON,6078286,YTS
NORTH BAY,ON,6085680,YYB
NORTH BAY A,ON,6085701,YYB
GORE BAY-MANITOULIN,ON,6092919,YZE
KINGSTON A,ON,6104149,YGK
KINGSTON A,ON,6104152,YGK
OTTAWA INTL A,ON,6106001,YOW
PETAWAWA AWOS,ON,6106396,ZWA
PETAWAWA A,ON,6106398,YWA
MUSKOKA,ON,6115529,YQA
WIARTON A,ON,6119499,YVV
BORDEN AWOS,ON,611B002,YBN
SARNIA,ON,6127510,YZR
CHATHAM-KENT,ON,6131414,YCK
ST CATHARINES A,ON,6137286,YSN
ST CATHARINES A,ON,6137304,YSN
WINDSOR A,ON,6139527,YQG
KITCHENER/WATERLOO,ON,6144239,YKF
LONDON A,ON,6144473,YXU
LONDON INT'L AIRPORT,ON,6144475,YXU
HAMILTON A,ON,6153193,YHM
OSHAWA,ON,6155875,YOO
TORONTO CITY CENTRE,ON,6158359,YTZ
TORONTO BUTTONVILLE A,ON,6158410,
TORONTO INTL A,ON,6158731,YYZ
CFB TRENTON,ON,6158875,YTR
TORONTO BUTTONVILLE A,ON,615HMAK,YKZ
PETERBOROUGH,ON,6166415,YPQ
CHARLOTTETOWN A,PE,8300301,YYG
QUEBEC INTL A,QC,7016293,YQB
QUEBEC/JEAN LESAGE INTL A,QC,7016294,YQB
TROIS-RIVIERES A,QC,7018561,YRQ
VALCARTIER A,QC,7018573,YOY
VALCARTIER A,QC,7018574,YOY
MONTREAL INTL A,QC,7025251,YUL
MONTREAL/ST-HUBERT A,QC,7027329,YHU
SHERBROOKE A,QC,7028123,YSC
OTTAWA GATINEAU A,QC,7032682,YND
OTTAWA GATINEAU A,QC,7032685,YND
MONTREAL MIRABEL INTL A,QC,7034900,YMX
BAIE-COMEAU A,QC,7040444,YBC
LOURDES DE BLANC SABLON A,QC,7040815,YBX
HAVRE-SAINT-PIERRE,QC,7043019,YGV
NATASHQUAN A,QC,7045398,YNA
SEPT-ILES A,QC,7047910,
SEPT-ILES,QC,7047911,YZV
GASPE A,QC,7052601,YGP
ILES DE LA MADELEINE A,QC,7053250,YGR
ILES DE LA MADELEINE A,QC,7053254,YGR
MONT JOLI A,QC,7055121,YYY
CFB - BAGOTVILLE,QC,7060400,YBG
ROBERVAL A,QC,7066685,
ROBERVAL A,QC,7066686,YRJ
ROUYN-NORANDA,QC,7086719,YUY
ROUYN-NORANDA A,QC,7086719,YUY
CHIBOUGAMAU CHAPAIS A,QC,7091405,YMT
CHIBOUGAMAU CHAPAIS A,QC,7091409,YMT
EASTMAIN RIVER A,QC,7092306,ZEM
EASTMAIN RIVER A,QC,7092310,ZEM
LA GRANDE 4,QC,7093714,YAH
LA GRANDE RIVIERE A,QC,7093716,YGL
LA GRANDE IV A,QC,7093GAC,
LA GRANDE III A,QC,7093GAL,YAD
MATAGAMI A,QC,7094636,YNM
NEMISCAU A,QC,7095412,YHH
VAL-D'OR A,QC,7098605,YVO
VAL D'OR A,QC,7098606,YVO
WASKAGANISH A,QC,7098895,
WASKAGANISH A,QC,7098896,YKQ
WASKAGANISH A,QC,7098898,YKQ
WEMINDJI A,QC,7098905,YNC
WEMINDJI A,QC,7098908,YNC
AKULIVIK A,QC,7100075,YKO
INUKJUAK,QC,7103280,YPH
INUKJUAK A,QC,7103283,YPH
IVUJIVIK A,QC,7103327,YIK
KUUJJUARAPIK A,QC,7103536,YGW
KUUJJUARAPIK,QC,7103537,YGW
PUVIRNITUQ A,QC,7106222,YPX
PUVIRNITUQ A,QC,7106223,YPX
UMIUJAQ A,QC,7108568,YMU
AUPALUK A,QC,7110LRJ,YLA
KANGIQSUJUAQ A,QC,7113381,YKG
KUUJJUAQ A,QC,7113534,
KUUJJUAQ A,QC,7113535,YVP
QUAQTAQ A,QC,7116272,YHA
SCHEFFERVILLE,QC,7117823,YKL
SCHEFFERVILLE A,QC,7117827,GKL
TASIUJAQ A,QC,7118369,YTQ
SALLUIT A,QC,711GG87,YZG
ESTEVAN A,SK,4012401,YEN
MOOSE JAW A,SK,4015320,YMJ
REGINA INTL A,SK,4016566,YQR
YORKTON,SK,4019075,YQV
SWIFT CURRENT,SK,4028038,YYN
KINDERSLEY A,SK,4043901,YKY
NORTH BATTLEFORD,SK,4045695,YQW
PRINCE ALBERT A,SK,4056241,YPA
SASKATOON INTL A,SK,4057152,YXE
BUFFALO NARROWS A,SK,4060984,YVT
BUFFALO NARROWS A,SK,4060988,YVT
JIMMY LAKE AWOS,SK,4063623,WHN
KEY LAKE,SK,4063757,YKJ
LA RONGE A,SK,4064155,YVC
MEADOW LAKE A,SK,4065057,YLJ
MEADOW LAKE A,SK,4065063,YLJ
STONY RAPIDS,SK,4067799,YSF
NIPAWIN,SK,4075525,YBU
BEAVER CREEK A,YT,2100155,YXQ
BEAVER CREEK A,YT,2100159,YXQ
BURWASH A,YT,2100180,YDB
BURWASH,YT,2100181,YDB
DAWSON CITY A,YT,2100401,YDA
DAWSON CITY A,YT,2100407,YDA
FARO A,YT,2100519,ZFA
FARO A,YT,2100527,ZFA
KOMAKUK BEACH,YT,2100682,WKM
MAYO A,YT,2100701,YMA
OLD CROW A,YT,2100801,YOC
OLD CROW A,YT,2100807,YOC
SHINGLE POINT A,YT,2100950,YUA
TESLIN A,YT,2101101,YZW
TESLIN A,YT,2101106,YZW
WATSON LAKE A,YT,2101201,YQH
WHITEHORSE A,YT,2101303,YXY
ABEE AGDM,AB,3010010,XAF
ALBERT HALL AGCM,AB,3010060,PAH
ALLIANCE AGCM,AB,3010162,PAA
ANDREW,AB,3010234,
ANDREW AGDM,AB,3010237,XAG
BELLSHILL AGCM,AB,3010650,PBL
BODO AGDM,AB,3010730,XBA
BRETON,AB,3010815,
BRETON PLOTS,AB,3010816,WOV
BRIGHTVIEW,AB,3010830,
BUSBY,AB,3010978,
BUSBY AGCM,AB,3010979,PBB
CADOGAN AGCM,AB,3010992,PCA
CALMAR,AB,3011120,
CAMROSE,AB,3011240,WRV
CAMROSE 2,AB,3011241,
CARNWOOD,AB,3011350,
CONSORT AGDM,AB,3011815,XCS
CORONATION CLIMATE,AB,3011887,WCT
CRESTOMERE AGCM,AB,3011892,PCC
DAKOTA WEST,AB,3011953,
DELBURNE AGCM,AB,3012050,PDA
DEWBERRY AGCM,AB,3012073,PDB
DONALDA SOUTH,AB,3012095,
EDGERTON AGCM,AB,3012192,PEA
EDMONTON INTERNATIONAL CS,AB,3012206,XEG
EDMONTON BLATCHFORD,AB,3012209,XEC
EDMONTON WOODBEND,AB,3012230,
ELK ISLAND NAT PARK,AB,3012275,WFE
FABYAN,AB,3012515,
FERINTOSH AGCM,AB,3012590,PFA
FLEET AGCM,AB,3012635,PFE
FORESTBURG PLANT SITE,AB,3012652,
FORESTBURG AGCM,AB,3012653,PFO
FORT SASKATCHEWAN,AB,3012710,
GILT EDGE NORTH AGCM,AB,3012790,PGE
GLADSTONE AGCM,AB,3012810,PGT
GLENEVIS AGCM,AB,3012818,PGC
GOOSEBERRY LAKE AGCM,AB,3012871,PGB
HALKIRK AGCM,AB,3012999,PHA
HEMARUKA AGCM,AB,3013140,PHE
HOLDEN AGDM,AB,3013340,XHD
HUGHENDEN AGCM,AB,3013362,PHU
KILLAM AGDM,AB,3013640,XKM
KESSLER AGCM,AB,3013644,PKA
KINSELLA RESEARC STATION,AB,3013647,PKR
KITSCOTY AGCM,AB,3013660,PKI
LEGAL AGCM,AB,3013790,PLF
LINDBERGH AGDM,AB,3013921,NLB
HOLDEN SOUTH,AB,3013C44,
MANNVILLE AGCM,AB,3014195,PMA
MONITOR,AB,3014600,
MUNDARE AGDM,AB,3014665,ZMU
MYRNAM AGCM,AB,3014690,PMN
NEW SEREPTA AGCM,AB,3014795,PNS
OLIVER AGDM,AB,3014921,ZOL
RADWAY AGCM,AB,3015346,PRW
RANFURLY AUTO,AB,3015401,PNX
RANFURLY 2NW,AB,3015405,
RIBSTONE SOUTH AGCM,AB,3015480,PRS
RIVERCOURSE AGCM,AB,3015501,PRA
ROCKY MTN HOUSE (AUT),AB,3015523,WRM
ROSALIND AGCM,AB,3015600,PRL
ST LINA AGCM,AB,3015673,PSL
ST PAUL AGCM,AB,3015676,XSP
SEDALIA AGCM,AB,3015797,PSA
SEDGEWICK TOWN,AB,3015808,
SHONTS AGCM,AB,3015900,PSH
SMOKY LAKE AGDM,AB,3016022,XSL
SPONDIN AGCM,AB,3016070,PSP
STETTLER AGDM,AB,3016124,XAK
THORSBY AGCM,AB,3016441,PTH
TOFIELD NORTH,AB,3016494,
TOMAHAWK AGDM,AB,3016505,NTK
TULLIBY LAKE AGCM,AB,3016593,PTU
UNCAS,AB,3016650,
TWO HILLS AGDM,AB,3016655,XTH
VERMILION AGDM,AB,3016802,XVM
VIKING AGCM,AB,3016841,PVA
VIKING NORTH 3,AB,3016845,
VILNA AGCM,AB,3016852,PVI
VIOLET GROVE CS,AB,3016860,XVG
VEGREVILLE,AB,3016GF0,WVI
WETASKIWIN AGCM,AB,3017282,PWT
YOUNGSTOWN AGCM,AB,3017705,PYT
EDMONTON STONY PLAIN CS,AB,301A001,XPS
ESTHER 1,AB,301B460,WGY
UNIVERSITY OF ALBERTA METABOLIC CENTRE,AB,301FFNJ,
WAINWRIGHT CFB AIRFIELD 21,AB,301S001,ZWN
ACADIA VALLEY,AB,3020035,PAC
ATLEE AGCM,AB,3020405,PAT
BEISEKER AGCM,AB,3020610,PBE
BIG VALLEY AGCM,AB,3020679,PBV
BUFFALO AGCM,AB,3020950,PXB
CABIN LAKE AGCM,AB,3021000,PCL
CAPPON,AB,3021200,PCN
CEREAL AGCM,AB,3021463,PCE
CRAIGMYLE AGCM,AB,3021912,PCM
CRAIGMYLE,AB,3021940,
ECKVILLE SOUTH,AB,3022159,
DRUMHELLER EAST,AB,30221LG,WDZ
FINNEGAN AGCM,AB,3022650,PFF
HAND HILLS AGCM,AB,3022990,PXH
HESPERO AGCM,AB,3023200,PHR
HUSSAR AGDM,AB,3023402,XHR
KIRRIEMUIR AGCM,AB,3023660,PZK
LACOMBE CDA 2,AB,3023722,WQQ
LEEDALE AGDM,AB,3023740,NLD
LINDEN AGCM,AB,3023850,PLA
LODGE CREEK,AB,3023900,PLZ
MADDEN,AB,3024150,
MORRIN AGDM,AB,3024668,XMO
OLDS,AB,3024920,
OLDS AGDM,AB,3024925,XOL
OYEN CAPPON,AB,3024961,
OYEN CARA,AB,3024962,
OYEN AGDM,AB,3024965,XOY
PATRICIA AGCM,AB,3025013,PPT
POLLOCKVILLE AGDM,AB,3025243,XPL
PRENTISS,AB,3025297,ZPS
RED DEER,AB,3025441,
ST. ALBERT RESEARCH STATION,AB,3025750,PSR
SCHULER AGDM,AB,3025768,XSC
SHEERNESS AGCM,AB,3025890,PXS
SIBBALD WESTGARD,AB,3025928,
SLEEPY HOLLOW,AB,3026009,
SUNNYNOOK AGCM,AB,3026264,PNU
THREE HILLS,AB,3026479,WHI
VERGER,AB,3026800,PVR
SUNDRE A,AB,3026KNQ,WAV
WIMBORNE AGCM,AB,3027582,PWB
ARDENVILLE,AB,3030200,PAV
AZURE,AB,3030450,PAZ
BARNWELL AGDM,AB,3030525,XBW
BARONS AGCM,AB,3030529,PBA
BASSANO AGCM,AB,3030540,PBS
BLACK DIAMOND,AB,3030680,PBD
BLACKIE AGCM,AB,3030690,PXC
BLOOD TRIBE AGDM,AB,3030720,PBT
BOW ISLAND,AB,3030768,WXL
BOW ISLAND IRRIGATION AGDM,AB,3030772,PXL
BROCKET AGDM,AB,3030830,XBR
BULL SPRINGS AGCM,AB,3030879,PBU
BROOKS,AB,3030QLP,WBO
CALGARY INT'L CS,AB,3031094,PCI
CARDSTON,AB,3031322,WFJ
CARWAY,AB,3031402,PCY
CHAMPION AGDM,AB,3031480,XCP
CLARESHOLM,AB,3031640,WDK
COP UPPER,AB,3031875,WDU
ENCHANT AGDM,AB,3032422,PEH
ETZICOM AGCM,AB,3032450,PET
FINCASTLE AGDM,AB,3032550,PFI
FOREMOST AGDM,AB,3032642,XFM
FORT MACLEOD AGCM,AB,3032683,PFM
GLEICHEN AGCM,AB,3032801,PGI
GLENWOOD,AB,3032818,PCR
GRASSY LAKE,AB,3032927,PGL
IRON SPRINGS AGDM,AB,3033498,PIR
PRIDDIS OBSERVATORY,AB,3033505,PRD
IRVINE AGCM,AB,3033550,PIA
KEOMA AGCM,AB,3033620,PKO
LATHOM AGCM,AB,3033770,PZL
LETHBRIDGE AGTECH AGCM,AB,3033877,PXZ
LETHBRIDGE CDA,AB,3033890,WQL
LETHBRIDGE CDA 2,AB,3033892,
LETHBRIDGE DEMO FARM AGDM,AB,3033897,PQL
MEDICINE HAT RCS,AB,3034485,XMW
MOSSLEIGH AGCM,AB,3034577,PML
MONARCH,AB,3034596,
MOUNTAIN VIEW VILLAGE,AB,3034725,
NEIR AGDM,AB,3034795,NNR
PINCHER CREEK CLIMATE,AB,3035208,PCK
QUEENSTOWN,AB,3035340,
QUEENSTOWN,AB,3035342,PQU
RAINIER AGCM,AB,3035355,PRE
RALSTON AGCM,AB,3035362,PXX
RAYMOND AGDM,AB,3035422,PRY
ROLLING HILLS AGCM,AB,3035530,PRH
ROSEMARY AGDM,AB,3035650,PRO
SEVEN PERSONS AGDM,AB,3035845,PSV
SOCIAL PLAINS AGCM,AB,3036040,PPN
STANDARD AGCM,AB,3036086,PSD
STAVELY AAFC,AB,3036099,WXN
STRATHMORE AGDM,AB,3036205,PST
TABER,AB,3036360,
TIDE LAKE AGCM,AB,3036485,PTE
TRAVERS AGCM,AB,3036500,PTR
VAUXHALL CDA CS,AB,3036682,WVO
WILDCAT HILLS,AB,3037550,
WRENTHAM AGDM,AB,3037675,XWM
OKOTOKS,AB,303M9JM,
PICTURE BUTTE WEST,AB,303N1G3,
DEL BONITA AGDM,AB,3042045,XDB
EAGLE BUTTE,AB,3042148,
MANYBERRIES AGCM,AB,3044203,PMB
MASINASIN AGDM,AB,3044232,XMN
MILK RIVER,AB,3044533,WRY
MILK RIVER RIDGE RESERVOIR,AB,3044545,PRR
ONEFOUR CDA,AB,3044923,WOE
PAKOWKI LAKE AGCM,AB,3045000,PPL
PINHORN AGCM,AB,3045100,PZN
WARNER AGCM,AB,3046951,PZW
BANFF CS,AB,3050519,WZG
BARRIER LAKE,AB,3050533,
BEAVER MINES,AB,3050602,PBM
BIGHORN DAM,AB,30506GN,
BOW VALLEY,AB,3050778,WXA
BULLHORN COULEE RESERVOIR,AB,3050960,PBR
BULLHORN HEADWATERS,AB,3050965,PBH
CROWSNEST,AB,3051R4R,WRT
DEVONA,AB,3052069,
JASPER WARDEN,AB,3053536,WJW
KANANASKIS,AB,3053600,
KANANASKIS POCATERRA,AB,3053604,
NORDEGG CS,AB,3054843,XND
PEKISKO,AB,3055119,NPK
SASKATCHEWAN RIVER CROSSING,AB,3055754,
ST MARY RESERVOIR,AB,3056100,PMR
WATERTON PARK GATE,AB,3056214,WGM
ST MARYS USA,AB,3059998,
NAKISKA RIDGETOP,AB,305MGFF,WNR
ATHABASCA AGCM,AB,3060330,PAF
ATMORE AGDM,AB,3060406,XAJ
BARRHEAD CS,AB,3060535,XBD
BRULE BLACK CAT,AB,3060903,
ATHABASCA 1,AB,3060L20,
CAMPSIE,AB,3061200,
CAMPSIE AUTO,AB,3061201,PZC
DAPP AGDM,AB,3061975,XDP
EDSON CLIMATE,AB,3062246,ZZJ
ENTWISTLE,AB,3062451,
EVANSBURG AGCM,AB,3062475,PEB
FORT ASSINIBOINE AGCM,AB,3062660,PFB
FORT MCMURRAY CS,AB,3062696,XMM
HENDRICKSON CREEK,AB,3063135,WPA
HIGH PRAIRIE AGDM,AB,3063165,XHP
HIGH PRAIRIE NORTH,AB,3063178,
ISLAND LAKE SOUTH,AB,3063600,PII
KAYBOB 3,AB,3063620,
LAC LA BICHE CLIMATE,AB,3063686,WLB
MILDRED LAKE,AB,3064528,WMX
RICH LAKE AGDM,AB,3065475,XRL
ISPAS,AB,3065712,PLY
